parser,expr_len,time
libgccjit,1,0.378
libgccjit,2,0.383
libgccjit,3,0.394
libgccjit,4,0.406
libgccjit,5,0.412
libgccjit,6,0.412
libgccjit,7,0.416
libgccjit,8,0.430
libgccjit,9,0.431
libgccjit,10,0.435
libgccjit,11,0.439
libgccjit,12,0.450
libgccjit,13,0.454
libgccjit,14,0.464
libgccjit,15,0.467
libgccjit,16,0.474
libgccjit,17,0.485
libgccjit,18,0.499
libgccjit,19,0.507
libgccjit,20,0.513
ast,1,0.405
ast,2,0.490
ast,3,0.548
ast,4,0.706
ast,5,0.786
ast,6,0.935
ast,7,1.016
ast,8,1.140
ast,9,1.249
ast,10,1.313
ast,11,1.400
ast,12,1.530
ast,13,1.611
ast,14,1.664
ast,15,1.735
ast,16,1.897
ast,17,1.970
ast,18,2.123
ast,19,2.332
ast,20,2.408
recalc,1,0.899
recalc,2,1.626
recalc,3,2.430
recalc,4,4.108
recalc,5,4.982
recalc,6,5.995
recalc,7,7.193
recalc,8,8.871
recalc,9,9.512
recalc,10,11.204
recalc,11,12.256
recalc,12,12.995
recalc,13,13.572
recalc,14,14.183
recalc,15,15.750
recalc,16,17.136
recalc,17,17.965
recalc,18,20.188
recalc,19,21.323
recalc,20,22.826
